Name,Area,Deanery,P. O. Box,Diocese,Physical Address,Road,Ward,Constituency,County,Country,Coordinates,Telephone,email,Website,Facebook,Twitter,Instagram,Youtube,Sunday,Weekdays,Public Holidays,Confession,Adoration,Baptism,Parish Priest,Asst. 1,Asst. 2,Asst. 3,Asst. 4,Office Hours
Mother Theresa of Calcutta,Zimmerman,Ruaraka,"1450, 00618 Nairobi",Nairobi,,,,,Nairobi,Kenya,"-1.2087171,36.8929587",,,,,,,,7:30 am English; 9:00 am Kiswahili; 11:00 am Kiswahili,Daily 6:30 am; Saturday 5:00 pm,9:00 AM,Saturday 4:00 pm,,,,,,,,
St. James,Juja Farm,Ruiru,"315,00232 Ruiru",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary Help of Christians,Ndundu,Gatundu,"279, Ruiru",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Dominic,Mwiki,Ruaraka,43684-00100 Mwiki,Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Charles Lwanga,Githirioni,Limuru,"100, 00222 Uplands",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
Holy Rosary,Ikinu,Kiambu,"100, 00900 Kiambu",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
Holy Family,Utawala,Eastern,"1020-00521, Nairobi",Nairobi,,,,,Nairobi,Kenya,,,,,,,,,8:00 am; 10:00 am,Tue 6:00 pm; Wed 7:30 am; Thu 6:00 pm; Fri 7:00 am and 6:00 pm,,Saturday 4:00 pm to 6:00 pm,Fri 7:00 am to 6:00 pm,,,,,,,Wed 9:30 am to 5:00 pm
St. Stephen,Gachie,Kiambu,"1026, 00621 Village Market",Nairobi,,,,,Nairobi,Kenya,"-1.2180758,36.7718563",,ststephengachieparish@gmail.com,,,,,,7:00 am English; 9:00 am Kikuyu; 11:00 am Kiswahili; 11:00 am Children's,Daily 6:15 am; Thur 7:00 am; Sat 5:30 pm,,Saturday 4:30 pm,Thursday 6:00 am,,,,,,,
St. Joachim & Anne,Soweto,Eastern,"11, 00518 Kayole",Nairobi,,Soweto Road,,,,,"-1.285608, 36.912639",,,,,,,,,,,,,,,,,,,
St. John Evangelist,Githiga,Githurai,"1107, 00900 Kiambu",Nairobi,,,,,,,"-1.0867163,36.7283821",,,,,,,,,,,,,,,,,,,
St. Lucia,Membley,Ruiru,"1136 – 00900, Kiambu.",Nairobi,,,,,,,"-1.164526, 36.925971",,,,,,,,,,,,,,,,,,,
Mary Queen of Apostles,Dagoretti,Western,"1182 – 00902, Kikuyu.",Nairobi,,,,,,,"-1.2920658,32.3395146",,,,,,,,7:00 am; 8:30 am; 10:30 am,Mon - Thu 7:00 am; Fri 5:00 pm; Sat 7:00 am; Wed 9:00 am,,,,,,,,,,
St. Peter,Kwihota,Ruiru,"121– 00232, Ruiru",Nairobi,,,,,,,"-1.157600, 36.979796",,,,,,,,,,,,,,,,,,,
